price,date,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type
6050000,2018-02-19,20:00:21,59.8058084,30.376141,2661.0,1.0,8.0,10.0,3.0,82.6,10.8,1.0
8650000,2018-02-27,12:04:54,55.683807,37.297405,81.0,3.0,5.0,24.0,2.0,69.1,12.0,1.0
4000000,2018-02-28,15:44:00,56.29525,44.061637,2871.0,1.0,5.0,9.0,3.0,66.0,10.0,1.0
1850000,2018-03-01,11:24:52,44.996132,39.074783,2843.0,4.0,12.0,16.0,2.0,38.0,5.0,11.0
5450000,2018-03-01,17:42:43,55.918767,37.984642,81.0,3.0,13.0,14.0,2.0,60.0,10.0,1.0
3300000,2018-03-02,21:18:42,55.908253,37.726448,81.0,1.0,4.0,5.0,1.0,32.0,6.0,1.0
4704280,2018-03-04,12:35:25,55.6210965,37.4310016,3.0,2.0,1.0,25.0,1.0,31.7,6.0,11.0
3600000,2018-03-04,20:52:38,59.8755262,30.3954571,2661.0,1.0,2.0,5.0,1.0,31.1,6.0,1.0
3390000,2018-03-05,07:07:05,53.1950306,50.1069518,3106.0,2.0,4.0,24.0,2.0,64.0,13.0,11.0
2800000,2018-03-06,09:57:10,55.7369718,38.8464565,81.0,1.0,9.0,10.0,2.0,55.0,8.0,1.0
6909880,2018-03-06,18:34:48,55.9139498,37.7077118,81.0,1.0,9.0,14.0,3.0,76.1,8.8,11.0
4291950,2018-03-06,18:37:27,55.9139498,37.7077118,81.0,1.0,10.0,14.0,1.0,40.3,11.0,11.0
6675840,2018-03-06,18:37:28,55.9139498,37.7077118,81.0,1.0,25.0,25.0,3.0,73.2,12.4,11.0
6522650,2018-03-06,18:37:35,55.9139498,37.7077118,81.0,1.0,5.0,14.0,3.0,68.3,12.1,11.0
6522650,2018-03-06,18:37:40,55.9139498,37.7077118,81.0,1.0,7.0,14.0,3.0,68.3,12.1,11.0
4279770,2018-03-06,18:40:08,55.7817155,37.8566559,81.0,2.0,7.0,15.0,1.0,36.3,16.6,11.0
4550000,2018-03-12,12:37:08,55.738846,49.225437,2922.0,3.0,6.0,10.0,2.0,54.2,11.4,1.0
2880000,2018-03-15,14:38:45,55.7349712,52.3663848,2922.0,1.0,8.0,10.0,2.0,51.0,8.0,1.0
1450000,2018-03-16,14:51:58,45.069785,41.935019,2900.0,1.0,9.0,10.0,1.0,43.0,9.0,1.0
1650000,2018-03-16,16:21:54,44.9943012,41.1228103,2843.0,3.0,5.0,5.0,2.0,51.0,7.0,1.0
8000000,2018-03-17,06:46:32,55.738876,37.82537,3.0,1.0,5.0,9.0,2.0,45.0,6.0,1.0
2250000,2018-03-17,09:05:06,54.8155661,56.12556,2722.0,1.0,2.0,5.0,2.0,46.0,6.0,1.0
3843000,2018-03-20,14:44:11,56.3460273,43.8716477,2871.0,2.0,16.0,25.0,2.0,61.0,11.0,11.0
2697200,2018-03-20,14:44:11,56.3460273,43.8716477,2871.0,2.0,6.0,25.0,1.0,44.0,20.0,11.0
4214700,2018-03-20,14:44:11,56.3460273,43.8716477,2871.0,2.0,16.0,25.0,2.0,67.0,20.0,11.0
3773700,2018-03-20,14:44:11,56.3460273,43.8716477,2871.0,2.0,12.0,25.0,2.0,60.0,12.0,11.0
950000,2018-03-25,14:55:54,58.6930479,59.485351,6171.0,3.0,2.0,5.0,1.0,32.0,10.0,1.0
5300000,2018-03-30,12:08:09,54.88528,38.080196,81.0,3.0,2.0,5.0,3.0,75.0,9.0,1.0
4600000,2018-04-02,15:09:38,55.7078344,37.9596388,81.0,2.0,17.0,17.0,1.0,37.0,12.5,1.0
11500000,2018-04-03,17:40:53,55.7989215,37.7380901,3.0,1.0,14.0,16.0,3.0,64.9,8.0,1.0
3500000,2018-04-04,13:38:26,47.2250854,39.6235866,3230.0,1.0,5.0,10.0,3.0,65.0,12.0,1.0
9000000,2018-04-04,15:45:29,56.3112475,44.0271172,2871.0,3.0,6.0,10.0,4.0,112.0,11.0,1.0
2500000,2018-04-04,19:37:22,43.634694,39.727167,2843.0,2.0,2.0,8.0,-1.0,25.0,5.0,1.0
2800000,2018-04-05,20:25:27,55.9428756,37.9764623,81.0,1.0,5.0,5.0,2.0,47.0,8.0,1.0
10200000,2018-04-07,15:23:20,55.655307,37.6146053,3.0,2.0,7.0,14.0,2.0,52.8,10.0,1.0
2370000,2018-04-09,15:55:58,61.657787,50.831367,4417.0,1.0,5.0,5.0,2.0,47.0,6.0,1.0
3200000,2018-04-10,16:10:12,59.827465,30.201827,2661.0,1.0,7.0,9.0,1.0,31.0,7.0,1.0
3160000,2018-04-11,15:58:47,55.172116,61.279772,5282.0,3.0,13.0,16.0,2.0,56.0,11.0,11.0
2750000,2018-04-14,15:29:34,54.8937452,38.0750844,81.0,1.0,5.0,5.0,2.0,44.0,6.0,1.0
3350000,2018-04-14,15:29:34,54.8827186,38.0619832,81.0,1.0,9.0,9.0,3.0,56.0,7.0,1.0
2500000,2018-04-14,15:29:34,54.886223,38.08271,81.0,3.0,4.0,9.0,1.0,33.0,6.0,1.0
2200000,2018-04-14,15:29:36,54.876962,38.155205,81.0,1.0,5.0,5.0,2.0,48.0,10.0,1.0
4400000,2018-04-14,15:29:37,54.8868571,38.0583764,81.0,3.0,11.0,14.0,2.0,54.0,9.0,1.0
4250000,2018-04-18,21:46:21,55.577999,39.517491,81.0,3.0,5.0,9.0,2.0,70.0,13.0,1.0
11500000,2018-04-18,21:52:41,55.70133,37.507412,3.0,1.0,14.0,17.0,1.0,42.0,12.0,1.0
